Map Container Profile (unit:ms)
TaskName,TaskID,Initailization,Input,SQLoperator,Sink,Spill,Starting Time,Ending Time,Cost Time,Node Locate
Map 10,attempt_1606874353529_0417_1_00_000000_0,199.324,1665.4,1701.46,169.753,929.996,2927,7601,4674,20
Map 1,attempt_1606874353529_0417_1_01_000004_0,54.4029,182.263,491.676,60.1895,355.901,7730,8877,1147,20
Map 17,attempt_1606874353529_0417_1_02_000002_0,26.9295,2029.96,1590.03,179.357,1224.35,9448,14500,5052,20
Map 10,attempt_1606874353529_0417_1_00_000003_0,182.12,1917.24,1342.34,155.269,584.48,4622,8816,4194,20
Map 17,attempt_1606874353529_0417_1_02_000001_0,24.2905,1073.51,1617.88,181.991,1359.99,9415,13674,4259,20
Map 10,attempt_1606874353529_0417_1_00_000004_0,188.623,1660.63,1628.49,175.943,1026.07,2940,7628,4688,20
Map 1,attempt_1606874353529_0417_1_01_000005_0,15.4162,205.126,396.287,56.867,211.762,8218,9105,887,20
Map 17,attempt_1606874353529_0417_1_02_000005_0,38.0613,1907.14,1500.57,173.378,1367.59,9678,14665,4987,20
Map 10,attempt_1606874353529_0417_1_00_000005_0,190.821,1715.52,1605.69,204.042,869.107,2864,7459,4595,20
Map 1,attempt_1606874353529_0417_1_01_000003_0,30.013,389.058,527.031,63.9696,386.933,7592,8989,1397,20
Map 17,attempt_1606874353529_0417_1_02_000003_0,14.8314,619.619,1210.65,143.017,1487.51,9559,13035,3476,20
Map 10,attempt_1606874353529_0417_1_00_000001_0,109.73,1147.11,1012.3,118.946,740.046,0,3136,3136,20
Map 1,attempt_1606874353529_0417_1_01_000000_0,45.9074,247.058,606.991,70.2605,439.71,3274,4685,1411,20
Map 1,attempt_1606874353529_0417_1_01_000001_0,63.8518,378.114,553.757,84.3183,364.011,4798,6244,1446,20
Map 1,attempt_1606874353529_0417_1_01_000002_0,12.4641,451.356,600.789,63.2204,406.951,6358,7893,1535,20
Map 17,attempt_1606874353529_0417_1_02_000004_0,18.4418,325.882,1244.03,145.404,1271.4,8156,11162,3006,20
