Map Container Profile (unit:ms)
TaskName,TaskID,Initailization,Input,SQLoperator,Sink,Spill,Starting Time,Ending Time,Cost Time,Node Locate
Map 10,attempt_1606874353529_0225_1_00_000019_0,221.891,3357.74,4589.99,1851.13,2997.6,891,13929,13038,20
Map 17,attempt_1606874353529_0225_1_02_000053_0,23.9778,6158.26,3351.94,1573.41,3100.5,119831,134040,14209,20
Map 17,attempt_1606874353529_0225_1_02_000004_0,18.9983,4290.72,6906.86,2995.14,5382.95,49354,68949,19595,20
Map 17,attempt_1606874353529_0225_1_02_000044_0,23.3078,36676.9,6511.17,2797.31,4186.85,69063,119259,50196,20
Map 10,attempt_1606874353529_0225_1_00_000054_0,60.3955,26940.1,5002.71,1143.09,2116.52,13974,49237,35263,20
Map 1,attempt_1606874353529_0225_1_01_000009_0,22.3496,18732.4,2582.11,275.369,825.648,29098,51537,22439,20
Map 17,attempt_1606874353529_0225_1_02_000003_0,15.9743,43639.6,7051.47,3093.26,5431.2,72040,131273,59233,20
Map 17,attempt_1606874353529_0225_1_02_000009_0,17.2686,4315.91,5220.26,3611.68,6655.46,51648,71470,19822,20
Map 10,attempt_1606874353529_0225_1_00_000009_0,233.718,3310.63,4991.06,1931.64,3148.36,848,14501,13653,20
Map 10,attempt_1606874353529_0225_1_00_000033_0,21.2314,6369.56,4490.22,1105.29,1881.97,15112,28981,13869,20
Map 25,attempt_1606874353529_0225_1_09_000004_0,20.0845,4105.39,1001.61,187.732,2451.11,121742,129509,7767,20
Map 17,attempt_1606874353529_0225_1_02_000014_0,21.2391,4261.88,5096.4,3304.23,5953.23,51835,70473,18638,20
Map 10,attempt_1606874353529_0225_1_00_000044_0,26.4321,4398.51,3446.14,1073.28,2105.33,13560,24610,11050,20
Map 17,attempt_1606874353529_0225_1_02_000049_0,20.6104,37965.7,5786.33,2912.35,4318.33,70584,121588,51004,20
Map 1,attempt_1606874353529_0225_1_01_000004_0,15.0507,23051.2,2783.76,305.968,813.455,24751,51721,26970,20
Map 10,attempt_1606874353529_0225_1_00_000014_0,242.593,3606.4,4333.88,1715.55,2638.6,878,13429,12551,20
Map 1,attempt_1606874353529_0225_1_01_000015_0,16.3708,12826.8,2799.55,299.767,829.691,30701,47474,16773,16
Map 10,attempt_1606874353529_0225_1_00_000025_0,181.137,21002,5495.1,1411.25,2134.89,419,30654,30235,16
Map 1,attempt_1606874353529_0225_1_01_000045_0,23.6644,18852.7,3076.37,359.416,1646.43,47588,71548,23960,16
Map 17,attempt_1606874353529_0225_1_02_000023_0,20.8482,38440.6,7291.65,3291.51,6026.69,87700,142772,55072,16
Map 17,attempt_1606874353529_0225_1_02_000025_0,16.3227,1772.45,5526.78,2954.04,5290.13,71570,87131,15561,16
Map 10,attempt_1606874353529_0225_1_00_000004_0,235.387,3985.78,4349.03,1733.58,2798.59,893,14016,13123,20
Map 25,attempt_1606874353529_0225_1_09_000006_0,24.9034,3016.17,377.718,73.3488,778.48,127065,131337,4272,20
Map 17,attempt_1606874353529_0225_1_02_000033_0,21.8734,16220.4,5384.73,2687.48,4155.73,98005,126477,28472,20
Map 17,attempt_1606874353529_0225_1_02_000039_0,18.1344,17841.4,4903.46,2935.93,4458.58,67276,97434,30158,20
Map 1,attempt_1606874353529_0225_1_01_000048_0,26.8024,15332.3,2609.16,278.056,804.792,48203,67255,19052,20
Map 10,attempt_1606874353529_0225_1_00_000013_0,45.4919,25524.2,4363.94,1180.08,1896.35,14618,47629,33011,20
Map 17,attempt_1606874353529_0225_1_02_000050_0,23.3189,8301.19,6122.06,3011.83,4548.29,84461,106469,22008,16
Map 1,attempt_1606874353529_0225_1_01_000010_0,19.961,9892.12,2520.28,264.844,1076.95,27332,41107,13775,16
Map 1,attempt_1606874353529_0225_1_01_000035_0,24.9635,16479.3,2689.58,290.691,823.335,41221,61530,20309,16
Map 10,attempt_1606874353529_0225_1_00_000015_0,269.783,17624.1,4912.13,1415.11,2609.15,446,27285,26839,16
Map 17,attempt_1606874353529_0225_1_02_000047_0,26.7851,25581.5,7349.3,3342.29,5043.26,107043,148387,41344,16
Map 17,attempt_1606874353529_0225_1_02_000020_0,16.6004,7130.93,6345.61,3372.65,5938.93,61542,84348,22806,16
Map 17,attempt_1606874353529_0225_1_02_000030_0,17.2073,2855.82,5488.98,3034.67,5541.69,71919,88858,16939,16
Map 25,attempt_1606874353529_0225_1_09_000003_0,43.288,5164.89,1103.73,216.001,3361.98,127017,136908,9891,16
Map 10,attempt_1606874353529_0225_1_00_000020_0,173.121,22156.3,4866.91,1490.24,2397.96,457,31551,31094,16
Map 17,attempt_1606874353529_0225_1_02_000000_0,72.9975,5594.65,5441.26,3095.52,6767.95,50834,71807,20973,16
Map 1,attempt_1606874353529_0225_1_01_000020_0,55.8838,14340,3379.39,297.994,1146.82,31598,50820,19222,16
Map 17,attempt_1606874353529_0225_1_02_000028_0,25.8503,22188.9,5865.33,3093.82,5741.01,89429,126345,36916,16
Map 17,attempt_1606874353529_0225_1_02_000035_0,22.5067,7792.52,4476.94,2679.17,4713.18,80765,100451,19686,16
Map 17,attempt_1606874353529_0225_1_02_000010_0,15.6794,9194.64,5882.79,3164.25,6264.81,56132,80654,24522,16
Map 10,attempt_1606874353529_0225_1_00_000005_0,223.912,16524.6,5038.73,1394.11,2691.42,438,26320,25882,16
Map 17,attempt_1606874353529_0225_1_02_000038_0,21.9905,12538.1,4171.03,2853.09,4479.12,101021,125086,24065,16
Map 25,attempt_1606874353529_0225_1_09_000005_0,28.0147,2399.96,1864.41,165.775,1772.37,125206,131438,6232,16
Map 1,attempt_1606874353529_0225_1_01_000000_0,31.4566,6743,3427.28,264.133,820.465,26365,37653,11288,16
Map 1,attempt_1606874353529_0225_1_01_000025_0,15.8697,14028.2,3041.78,345.592,910.081,37767,56110,18343,16
Map 1,attempt_1606874353529_0225_1_01_000030_0,24.9912,16901.9,2866.28,297.198,817.996,39392,60302,20910,16
Map 1,attempt_1606874353529_0225_1_01_000005_0,33.1645,8975.39,2698.27,293.882,872.406,26401,39275,12874,16
Map 17,attempt_1606874353529_0225_1_02_000045_0,22.1276,8421.6,4762.79,2986.77,4432.37,84024,104650,20626,16
Map 17,attempt_1606874353529_0225_1_02_000015_0,19.8279,7274.15,7358.79,3113.54,5815.99,60328,83911,23583,16
